id,cost,elapsed_min,x_drift_mm,y_drift_mm,z_drift_mm,x_cost,y_cost,z_cost,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
97edb96a,0.00019542804571809786,1.1,0.4896843533506715,0.21646276035668122,0.03778253458251938,0.00012242108833766788,5.41156900891703e-05,1.889126729125969e-05,0.10230377989706146,0.07667826415375528,8.184455208486844e-06,0.0007821454002864006,0.3271000095514074,0.0002754149716245261,0.5288306026000138,4.003614416749296,30.16834982440038,1.1120577686261685e-05,0.0046516365255657955,1.2411092520193707,0.014518118068495052,1026.8249960381154
a7a1a6a9,0.00014593991352587052,1.1,0.3183290356367857,0.18500423036873098,0.04021319404898267,7.958225890919643e-05,4.625105759218275e-05,2.0106597024491338e-05,0.11472008924563412,0.06682694118320116,3.5277037591716145e-05,0.0010147310804861944,0.641180898772683,0.00019316873696178111,0.21220283711136378,4.375009804684312,30.03426024409215,5.848229999767881e-06,0.004590491185820538,1.0915807031357094,0.01490699640010623,971.5936224050455
b6826518,0.03686716581115332,1.2,1.178654603980042,34.67790006412579,55.806054288253726,0.0002946636509950105,0.008669475016031446,0.027903027144126864,0.6060665371689379,0.4751423205523725,1.9499959382556658e-05,0.0012902204031985972,0.7005244772573912,0.00027853315161990155,0.033818079903216135,4.066607122372273,30.77968763488959,9.80865746801316e-06,0.004889382566348817,1.7227177794931718,0.013067228460845041,998.092265496495
de81debf,0.033293064334126016,1.2,1.1781517867329523,32.865080773713366,49.564512388028874,0.0002945379466832381,0.008216270193428342,0.024782256194014435,0.1339837865726684,0.6518420478433797,1.5556911461771233e-05,0.0002460663913082739,0.7199743970590939,0.00012081323861277873,0.26632211384893384,4.586005130301234,30.94156731060371,1.2330429376304677e-05,0.004941142874406429,1.0229753260576833,0.014201811977221177,905.0887243610625
1395d7d4,0.000495759728185147,1.2,0.32499134489601467,0.8100229391867125,0.42401231432893044,8.124783622400367e-05,0.00020250573479667813,0.00021200615716446521,0.2583226385287765,0.14160488347441663,1.7522669607827807e-05,0.00023608255938512303,0.555246598673081,0.00014739181386440108,0.1291071782578338,3.964243111944219,30.555983186617755,2.3499627343982694e-05,0.004989210071801391,1.6720966826014225,0.022333337740320813,1012.289569585469
9cce4f0d,0.00013661335791990674,1.2,0.32883746630358,0.13474195260352284,0.041437006386262076,8.2209366575895e-05,3.368548815088071e-05,2.0718503193131037e-05,0.22236954439244813,0.13608748058730427,1.8147577550406277e-05,0.0003002768991824809,0.7320324675642578,0.0006496127920162711,0.2510033737474136,4.324188996043245,30.21515408273839,0.00017818726537703153,0.004734338289705384,0.6390662561463731,0.012873907159254433,1050.7829697488733
b91871d3,0.03419685028542916,1.2,1.515789947865299,34.13319383557259,50.56920867913938,0.00037894748696632477,0.008533298458893147,0.02528460433956969,0.4346498088701883,0.6361530146309249,1.4793026511595122e-05,0.000389738627292877,0.562665612432633,0.00016034271255037274,0.5033025524401586,4.721961355789057,30.625869049269557,3.9725890696003704e-05,0.004999691578902724,1.6847159892625625,0.01963373802676842,1003.6012074756826
463e252d,0.001687837008319482,1.2,0.3401785185346481,0.3193174136523444,3.045926050545468,8.504462963366203e-05,7.982935341308609e-05,0.001522963025272734,1.244301450576918,0.11095522282697136,8.195662128248225e-06,0.0003957471548547661,0.3591104991806493,0.0002567392822133669,0.4556119293723214,3.8731099770799067,30.851385316278016,3.98732597127988e-05,0.004251522605868767,1.140059270514154,0.028925067226653008,982.5468224071199
f04ca6fc,0.00017239597492497326,1.2,0.4628404355952775,0.15000539597886145,0.03836903406287712,0.00011571010889881937,3.750134899471536e-05,1.9184517031438562e-05,0.33221820991452333,0.053236139256432766,2.1181754229742557e-05,0.0006438277521914313,0.6444425544194653,0.000288693656580934,0.2463873347832155,3.611843774887267,30.360831057451623,6.495488163331156e-05,0.002832824631576492,1.4857908036389453,0.01371857568149127,847.3762122664006
eab42df6,0.00017282738724572842,1.2,0.388945083541537,0.25751041784258605,0.022427023799395318,9.723627088538425e-05,6.437760446064652e-05,1.121351189969766e-05,0.45117517692578796,0.22401387576231668,2.121638862237984e-06,0.0005905232723252739,0.6248560674344159,0.0001553876079964455,0.016773302588268167,3.9011553308754574,30.525152993537453,0.00020935966776356295,0.004999947723185159,0.7989761742669824,0.015859307260833084,1070.478582282908
0fcdfa11,0.00018890076197094946,1.2,0.5165482074700187,0.16662376238979415,0.03621553901199245,0.00012913705186750468,4.1655940597448535e-05,1.8107769505996224e-05,0.49403207018228407,0.04712260659736798,1.3904373371578124e-05,0.0006802230783151011,0.7216110825091141,0.00020070711087402462,0.71517464806177,3.9859093110836543,30.52747438636914,5.4048571529786064e-05,0.004930185532064265,0.9017831570058245,0.012611346902908896,1069.605113760649
c4ea24db,0.00027597951446950615,1.2,0.8178034300341235,0.22269025860098465,0.03171218462145828,0.00020445085750853088,5.567256465024616e-05,1.5856092310729138e-05,0.2601256917956041,0.04200533551920707,1.7763073970100508e-05,0.00025245785908690495,0.8405287942672672,0.0003030266296403771,0.2758350081593296,4.016645102932252,30.25545742696215,5.6816313021676504e-05,0.002419938001200434,0.7181393962719559,0.013562286945636715,1007.6483292943768
d14bf9ca,0.0014552708763133516,1.2,0.5049476829748264,2.1455381898846273,1.5852988161969763,0.0001262369207437066,0.0005363845474711568,0.0007926494080984881,0.09792124346685493,0.2966953924424025,2.6152270756005093e-05,0.0003545216342342827,0.7086681921352382,0.0002896498781997141,0.08941828655229772,3.9269043470056966,30.171818323228084,6.225408985148559e-05,0.0049829063349245,0.9625873128839979,0.012446978024735347,1018.9427960927028
b88a7782,0.0001224313406099117,1.2,0.21437049972254638,0.1965554698942182,0.039399696411441094,5.3592624930636595e-05,4.913886747355455e-05,1.9699848205720547e-05,0.6970460549205753,0.10765267607950411,1.2588704497498362e-05,0.0019806846994994275,0.8325388175704785,0.0006094886786376495,0.013588381311484335,4.386795891311744,30.24322707331383,4.946253652525899e-06,0.004965900351805668,1.0880145579550191,0.012861096119927893,1066.162542258889
