trial_id,reward,reward_hold,reward_drive,termination_hold,termination_drive,slip_m,contact_percentage_hold,detachment_fraction_hold,detached_hold,progress_m,progress_rate_mps,contact_percentage_drive,detachment_fraction_drive,detached_drive,stuck,walltime_s
156,-970.4937931543623,-970.4937931543623,-842.2,detached,detached,1.3787586308724553,0.0364,0.9636,True,0.0,0.0,0.1578,0.8422000000000001,True,False,0.8484892845153809
157,-919.0505641765109,-919.0505641765109,-742.5999999999999,detached,ok,0.2901128353021686,0.0824,0.9176,True,0.0,0.0,0.2574,0.7425999999999999,False,False,0.9438655376434326
158,-963.7104221301407,-963.7104221301407,-861.1999999999999,detached,detached,0.30208442602815117,0.0378,0.9621999999999999,True,0.0,0.0,0.1388,0.8612,True,False,0.8323616981506348
159,-611.9526870104612,-611.9526870104612,-556.2,ok,ok,0.39053740209225085,0.39,0.61,False,0.0,0.0,0.4438,0.5562,False,False,1.0827298164367676
160,-711.6,-617.7208000954585,-711.6,ok,ok,0.10416001909170781,0.3828,0.6172,False,0.0,0.0,0.2884,0.7116,False,False,1.1886491775512695
161,-609.0549675343174,-609.0549675343174,-529.4,ok,ok,0.29099350686348524,0.3924,0.6075999999999999,False,0.0,0.0,0.4706,0.5294,False,False,1.075467824935913
162,-633.3237933337697,-633.3237933337697,-537.6,ok,ok,0.10475866675392233,0.3672,0.6328,False,0.0,0.0,0.4624,0.5376000000000001,False,False,1.1776907444000244
163,-652.6013527763852,-652.6013527763852,-560.6,ok,ok,0.1602705552770336,0.3482,0.6517999999999999,False,0.0,0.0,0.4394,0.5606,False,False,1.0872299671173096
164,-672.7295339243528,-600.9180400629062,-672.7295339243528,ok,ok,0.26360801258123756,0.4004,0.5996,False,0.3340932151294291,0.0,0.3256,0.6744,False,False,1.2542619705200195
165,-745.4456410010397,-745.4456410010397,-578.0000000000001,ok,ok,0.12912820020793309,0.2552,0.7448,False,0.0,0.0,0.422,0.5780000000000001,False,False,1.1294550895690918
166,-603.2345297998319,-603.2345297998319,-577.6,ok,ok,0.5669059599663672,0.3996,0.6004,False,0.0,0.0,0.4224,0.5776,False,False,1.050804853439331
167,-601.2791840712767,-601.2791840712767,-563.1999999999999,ok,ok,0.21583681425533394,0.3998,0.6002000000000001,False,0.0,0.0,0.4368,0.5631999999999999,False,False,1.1629102230072021
168,-629.6494020243116,-629.6494020243116,-545.6,ok,ok,0.24988040486229593,0.3716,0.6284000000000001,False,0.0,0.0,0.4544,0.5456,False,False,0.9460394382476807
169,-636.164772296722,-636.164772296722,-606.0,ok,ok,0.11295445934442411,0.3644,0.6355999999999999,False,0.0,0.0,0.394,0.606,False,False,1.1156692504882812
170,-578.1349747265615,-578.1349747265615,-532.9999999999999,ok,ok,0.46699494531231595,0.4242,0.5758,False,0.0,0.0,0.467,0.5329999999999999,False,False,1.1099216938018799
171,-632.4779093077087,-632.4779093077087,-554.9999999999999,ok,ok,0.41558186154172155,0.3696,0.6304000000000001,False,0.0,0.0,0.445,0.5549999999999999,False,False,1.1423163414001465
172,-956.4148044587808,-956.4148044587808,-899.8000000000001,detached,detached,0.2829608917561616,0.045,0.955,True,0.0,0.0,0.1002,0.8998,True,False,0.8703937530517578
173,-551.9374560116986,-551.9374560116986,-488.3999999999999,ok,ok,2.787491202339716,0.462,0.538,False,0.0,0.0,0.5116,0.48839999999999995,False,False,1.1644036769866943
174,-650.6831019930245,-650.6831019930245,-588.4000000000001,ok,ok,0.05662039860490407,0.3496,0.6504,False,0.0,0.0,0.4116,0.5884,False,False,1.029548168182373
175,-956.45741451086,-956.45741451086,-874.1999999999999,detached,detached,0.6114829021719983,0.0466,0.9534,True,0.0,0.0,0.1258,0.8742,True,False,0.8943314552307129
176,-615.5145965138129,-615.5145965138129,-565.8000000000001,ok,ok,0.06291930276257807,0.3848,0.6152,False,0.0,0.0,0.4342,0.5658000000000001,False,False,1.0851824283599854
177,-962.7581132702367,-962.7581132702367,-943.6567777467238,detached,detached,1.791622654047335,0.0462,0.9538,True,0.06864445065523528,0.0,0.056,0.944,True,False,0.8622188568115234
178,-587.6103150421303,-587.6103150421303,-513.4000000000001,ok,ok,0.28206300842605003,0.4138,0.5862,False,0.0,0.0,0.4866,0.5134000000000001,False,False,1.1529955863952637
179,-636.1554902403203,-636.1554902403203,-539.4,ok,ok,0.43109804806406626,0.366,0.634,False,0.0,0.0,0.4606,0.5394,False,False,1.0633339881896973
180,-564.444644208484,-564.444644208484,-523.0,ok,ok,0.20892884169679968,0.4366,0.5634,False,0.0,0.0,0.477,0.523,False,False,1.105224609375
181,-619.6463924536363,-619.6463924536363,-526.5999999999999,ok,ok,0.20927849072724544,0.3814,0.6186,False,0.0,0.0,0.4734,0.5266,False,False,1.1455097198486328
182,-603.5334900802072,-603.5334900802072,-593.6,ok,ok,0.26669801604144444,0.3978,0.6022000000000001,False,0.0,0.0,0.4064,0.5936,False,False,1.0588219165802002
183,-566.6677669139218,-566.6677669139218,-479.2038442252529,ok,ok,0.13355338278434148,0.434,0.5660000000000001,False,0.03923115494942098,0.0,0.5206,0.47940000000000005,False,False,1.1617937088012695
184,-627.006062595779,-627.006062595779,-447.6,ok,ok,0.16121251915579995,0.3738,0.6262,False,0.0,0.0,0.5524,0.4476,False,False,1.2739965915679932
185,-618.7186805015878,-618.7186805015878,-535.6,ok,ok,0.30373610031757575,0.3828,0.6172,False,0.0,0.0,0.4644,0.5356000000000001,False,False,1.154785394668579
186,-935.0161681238504,-935.0161681238504,-898.2,detached,detached,0.3232336247700849,0.0666,0.9334,True,0.0,0.0,0.1018,0.8982,True,False,0.8723618984222412
187,-672.2865327524249,-672.2865327524249,-594.0,ok,ok,0.3373065504849728,0.3294,0.6706,False,0.0,0.0,0.406,0.594,False,False,1.0626921653747559
188,-602.5116469616858,-602.5116469616858,-534.5999999999999,ok,ok,0.38232939233715135,0.3994,0.6006,False,0.0,0.0,0.4654,0.5346,False,False,1.088019609451294
189,-526.9783871425682,-526.9783871425682,-439.20000000000005,ok,ok,0.03567742851363898,0.4732,0.5267999999999999,False,0.0,0.0,0.5608,0.43920000000000003,False,False,1.1086421012878418
190,-570.8662512155806,-570.8662512155806,-495.6,ok,ok,0.17325024311610257,0.43,0.5700000000000001,False,0.0,0.0,0.5044,0.49560000000000004,False,False,1.1052212715148926
191,-775.6314577477741,-775.6314577477741,-506.2,ok,ok,0.08629154955481624,0.2248,0.7752,False,0.0,0.0,0.4938,0.5062,False,False,1.133063554763794
192,-558.3467706134445,-558.3467706134445,-502.4,ok,ok,0.06935412268890159,0.442,0.558,False,0.0,0.0,0.4976,0.5024,False,False,1.2191619873046875
193,-550.0646210418383,-550.0646210418383,-550.0,ok,ok,0.0929242083676736,0.4504,0.5496,False,0.0,0.0,0.45,0.55,False,False,1.2377877235412598
194,-509.84887149464436,-509.84887149464436,-449.6,ok,ok,3.0897742989288783,0.5056,0.49439999999999995,False,0.0,0.0,0.5504,0.4496,False,False,1.1664619445800781
195,-648.4563640820317,-648.4563640820317,-559.4,ok,ok,0.7312728164063151,0.3552,0.6448,False,0.0,0.0,0.4406,0.5594,False,False,1.153510332107544
196,-613.6905467449199,-613.6905467449199,-565.6,ok,ok,0.09810934898398242,0.3868,0.6132,False,0.0,0.0,0.4344,0.5656,False,False,1.1568925380706787
197,-693.7687104014609,-693.7687104014609,-567.1999999999999,ok,ok,0.19374208029216178,0.3072,0.6928000000000001,False,0.0,0.0,0.4328,0.5671999999999999,False,False,1.1352314949035645
198,-643.8185634269562,-643.8185634269562,-543.8000000000001,ok,ok,0.16371268539124376,0.357,0.643,False,0.0,0.0,0.4562,0.5438000000000001,False,False,1.2444758415222168
199,-545.5242973330782,-545.5242973330782,-512.2,ok,ok,0.2248594666156237,0.4556,0.5444,False,0.0,0.0,0.4878,0.5122,False,False,1.2052311897277832
