id,cost,elapsed_min,pulloff_force,detach_cost,achieved,goal,shortfall,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
21c71881,0.195709,0.33,769.2000,0.195709,769.2000,956.3700,0.195709,0.23718996,0.023009315,2.4985991e-05,0.0029346732,0.66834916,0.00025129963,0.31424028,4.7341206,30.422972,4.6127116e-05,0.0040709164,1.0710515,0.040114821,719.60685
a033086b,0.000000,0.33,1246.8400,0.000000,1246.8400,956.3700,0.000000,0.13148844,0.0024595877,3.7589143e-05,0.0055044081,0.36651913,0.00022009206,0.36970744,4.8575337,30.407971,9.3395229e-05,0.0047988691,1.6081023,0.04996986,1197.5834
5ad14648,0.006221,0.33,950.4200,0.006221,950.4200,956.3700,0.006221,0.090252136,0.016326197,4.3576977e-06,0.0032771349,0.37660574,0.00075136144,0.42192426,4.4365524,29.645444,2.6945179e-05,0.0045599782,0.94364175,0.059320637,900.9831
ad2cd268,0.080000,0.33,879.8600,0.080000,879.8600,956.3700,0.080000,0.17365899,0.0056092018,1.941554e-05,0.0026494102,0.54305862,0.00023900463,0.19917012,4.3946806,30.231343,3.1117297e-05,0.0026239592,0.63698103,0.026275586,830.36099
f0c70cf5,0.435909,0.33,539.4800,0.435909,539.4800,956.3700,0.435909,0.1748673,0.0025516839,3.8731299e-05,0.0040178857,0.86333248,0.0006849358,0.18267045,4.5506754,30.193607,5.0309937e-06,0.0039883303,1.1421686,0.044766327,489.71041
60c0c3e8,0.000000,0.33,1139.8200,0.000000,1139.8200,956.3700,0.000000,0.078267076,0.005532575,8.7610004e-06,0.0032117867,0.90973928,0.00073385326,0.55203889,3.7227584,30.064413,3.2905638e-05,0.0010414701,0.74823078,0.02490714,1090.4453
6a8a83ae,0.000000,0.33,1118.3400,0.000000,1118.3400,956.3700,0.000000,0.13708175,0.0048434513,4.3715926e-05,0.0037537493,0.22890955,0.00036279014,0.3879833,4.3751417,30.119482,3.2148128e-05,0.0015379899,0.86192453,0.046551304,1068.964
a736813f,0.000000,0.48,962.9800,0.000000,962.9800,956.3700,0.000000,0.18161829,0.0027202043,0.00010054516,0.0046249488,0.17015192,0.00092336778,0.96752338,4.8162326,30.224301,3.6751188e-05,0.0048101419,0.50006744,0.032193063,913.49116
07fe8ad4,0.000000,0.48,1001.2400,0.000000,1001.2400,956.3700,0.000000,0.082261312,0.0034953681,2.2296334e-05,0.00094954653,0.36561888,0.00019704249,0.010245164,4.9600965,30.212276,3.6698563e-05,0.0026420522,1.0458609,0.074652954,951.8008
3516911a,0.000000,0.48,1235.3600,0.000000,1235.3600,956.3700,0.000000,0.099206151,0.0042730245,1.3489354e-05,0.003484691,0.26642763,0.0006538288,0.43062415,4.5912056,30.150311,2.4776014e-05,0.0020178219,0.71871386,0.029198399,1186.0603
dd0d14a2,0.119420,0.48,842.1600,0.119420,842.1600,956.3700,0.119420,0.26587919,0.0052711671,1.0231454e-05,0.0017735729,0.26223392,0.0019511095,0.59472077,4.2942456,30.442431,0.00011156575,0.0048711437,1.4410686,0.099901348,792.64533
e12ec8e6,0.000000,0.48,1153.1000,0.000000,1153.1000,956.3700,0.000000,0.085269816,0.0040361958,1.0797925e-05,0.0046457637,0.29110116,0.00087660611,0.2465479,4.3946168,29.61246,1.8075034e-05,0.003243845,1.9589461,0.036941961,1103.7648
62d4dbbf,0.000000,0.48,1188.0600,0.000000,1188.0600,956.3700,0.000000,0.08906429,0.016142446,4.3226623e-05,0.0073969981,0.53584928,0.00061198262,0.44296005,4.5972099,29.504631,3.4886566e-05,0.0046789248,0.61588549,0.069198397,1138.7114
a8306544,0.000000,0.48,1040.8200,0.000000,1040.8200,956.3700,0.000000,0.071132879,0.0049886269,3.8444179e-06,0.0081836617,0.19419701,0.00018935961,0.060012406,4.2205354,29.833498,2.3916527e-05,0.0037657733,0.58670572,0.056909881,991.39106
cd6a8c32,0.107375,0.48,853.6800,0.107375,853.6800,956.3700,0.107375,0.48882089,0.0048283127,6.5959932e-05,0.0019249247,0.36483685,0.0011040925,0.079484452,4.5457451,30.156367,3.1767284e-05,0.0039438466,0.92994214,0.064603858,804.16082
d877bab1,0.000000,0.48,1236.6000,0.000000,1236.6000,956.3700,0.000000,0.063756548,0.0046958554,2.0099558e-05,0.014427271,0.32121123,0.00026159795,0.016543855,4.2874656,29.927398,1.4690041e-05,0.0030422989,1.293632,0.031640049,1187.3024
ad877e1e,0.000000,0.48,1210.2200,0.000000,1210.2200,956.3700,0.000000,0.093060312,0.0028588193,1.5657525e-05,0.0038672191,0.24462927,0.00061463093,0.56903022,4.3986197,30.507663,4.2621851e-05,0.0030309355,1.2951625,0.095638413,1160.8994
5b26d639,0.000000,0.48,1140.2600,0.000000,1140.2600,956.3700,0.000000,0.18044021,0.0025573572,6.8472739e-05,0.0035016739,0.079382484,9.6736834e-05,0.32687277,4.1114184,30.110792,2.4693135e-05,0.0049987968,1.043229,0.088559575,1090.9159
279f47b9,0.110407,0.48,850.7800,0.110407,850.7800,956.3700,0.110407,0.087389337,0.004375279,4.4564881e-05,0.0012363958,0.0010006597,0.00044307947,0.56588047,4.6490554,30.024102,1.4200981e-05,0.0038621792,0.61851572,0.057223672,801.22295
2e054f90,0.090917,0.48,869.4200,0.090917,869.4200,956.3700,0.090917,0.071484308,0.0068059772,2.3990848e-05,0.0027780097,0.20554104,0.00019905863,0.67344665,4.558534,29.32939,5.4957914e-05,0.0039560615,0.50615182,0.051720596,819.90505
b058d029,0.947426,0.48,50.2800,0.947426,50.2800,956.3700,0.947426,0.085790286,0.005468871,0.00013329756,0.0051163063,0.12508985,0.00045325352,0.71261872,4.4363019,29.854098,3.1411536e-05,0.0016161209,0.94448996,0.012769137,527.48126
510e73d2,0.947426,0.48,50.2800,0.947426,50.2800,956.3700,0.947426,0.069515537,0.0051310296,1.293447e-05,0.0046537375,0.38462454,0.00060381699,0.011402392,4.7431508,29.377199,2.0069363e-05,0.0025578987,0.98097018,0.013313616,816.27648
51e90f22,0.000000,0.48,1122.3400,0.000000,1122.3400,956.3700,0.000000,0.20037393,0.0064804035,2.0963708e-05,0.00095299725,0.37371792,0.00060074021,0.90231511,4.3785156,30.185827,5.2780662e-05,0.002774841,0.88948914,0.049698932,1072.9916
af9a50d3,0.000000,0.48,1029.3800,0.000000,1029.3800,956.3700,0.000000,0.12934211,0.0092774885,2.8604745e-05,0.0040955561,0.0070377261,0.0013467104,0.64606412,4.59646,29.695195,4.215188e-05,0.0039208309,1.3023793,0.017579446,980.21651
