id,cost,elapsed_min,fl_x_drift_mm,fl_y_drift_mm,fl_z_drift_mm,stance_drift_mm,fl_x_cost,fl_y_cost,fl_z_cost,stance_cost,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
dd2e999d,0.019194518391807476,1.1,2.3178641769574977,5.189918088638687,11.67039783596931,39.048718689291256,0.00030132234300447473,0.0006746893515230293,0.00455145515602803,0.01366705154125194,0.12968821217880097,0.0027743929837872714,3.3550937795067454e-05,0.014938585277173053,0.001,0.0008056900834221355,0.5602835615135063,4.133032722249352,29.96725427197886,1.876688673064503e-05,0.005,0.6167363774826667,0.06267434712173657,1099.9999999999998
d0bfbe97,0.09916008753649587,1.1,72.09143646071438,205.77621193994688,108.15716723787556,59.5885657761098,0.00937188673989287,0.026750907552193098,0.04218129522277147,0.02085599802163843,0.14209210681208992,0.0009658659864920566,3.96904352269569e-05,0.006063015844990837,0.10902674446564371,0.0002394146082760264,0.3932668786131895,4.391657419403054,30.162270541412042,1.5665979211206176e-05,0.005,0.5,0.012000000000000002,859.4714007621928
939b97b4,1.0,1.1,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.029946600611080468,0.002686766224552414,1.3383259150984472e-05,0.014364064255185174,0.001,0.0002716315146489423,0.01,4.178715074209021,29.639504398074028,3.4117487560763625e-05,0.0,0.8096187918861228,0.048293230919249364,800.0000000000003
0899c54e,1.0,1.4,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.09071881293346698,0.0031064717522384824,1.97624170258091e-05,0.002781981527675727,0.844857021649333,0.00011405547891323445,0.15778245331202964,4.413027039710081,29.575339472184886,8.005275168069354e-06,0.005,1.2966163466361988,0.06115376901566718,800.0000000000003
7671d400,1.0,1.4,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.1583351761814374,0.0024382522263459642,3.175142326365373e-05,0.004955461078831001,0.5533908384635932,0.0013142384229310041,0.4051972715616269,4.62125210159174,30.326083648061182,1.1143850204472844e-05,0.005,0.8365966425298131,0.05737890186832116,1099.9999999999998
cceffabf,0.008593967356323425,1.4,2.5894468395194123,7.03075595968585,10.453146127903787,9.333182864412182,0.0003366280891375236,0.0009139982747591606,0.004076726989882477,0.003266614002544263,0.15322095426126295,0.0018091133870512105,2.149506276956755e-05,0.004892695567889551,0.38577220020690384,0.00015737851483873657,0.5135519368451011,4.233955847193913,30.037195014875028,1.977188016574213e-05,0.005,0.9817148165495259,0.01582793501080674,1005.728579942865
2f3e77cb,0.10512842049258371,1.4,57.00481213599859,141.68757145440603,143.75673485211567,66.38081152430281,0.007410625577679817,0.018419384289072784,0.05606512659232512,0.023233284033505983,0.14922814539265955,0.000769838610684342,4.439041948822608e-05,0.0035103418780296496,0.2597642857039666,0.0006152720886523369,0.25150536140241087,4.656954833305851,29.83791713219114,1.6948109200985227e-05,0.005,0.5,0.012000000000000002,800.0000000000003
150c73d5,0.2012253862586563,1.4,225.0068018828792,150.46726901648057,265.9928717889011,139.07582012590885,0.029250884244774296,0.019560744972142476,0.10373721999767142,0.048676537044068095,0.12350074453620578,0.001240848365961811,3.894350276172556e-05,0.003417269283147564,0.03935695134353867,0.00023447153642029234,0.1941464751806608,4.851455786470901,29.418528620171276,3.8138925396609607e-06,0.005,1.2541563351730594,0.07361919047874477,1099.9999999999998
d2c8b28f,1.0,1.4,1000.0,1000.0,1000.0,1000.0,0.13,0.13,0.39,0.35,0.2535960145283309,0.0012184868054660118,4.821723066338637e-05,0.006801261739342529,0.7824825784230074,0.00029163251241148635,0.01,4.432293021828133,29.098367174474102,8.308953028678727e-06,0.005,0.6009940574969524,0.012986598079134269,1099.9999999999998
d16cd4fd,0.02774994804199727,1.4,3.9453377900244817,17.34200571424218,45.01318804301219,21.221285856193855,0.0005128939127031826,0.0022544607428514832,0.017555143336774756,0.007427450049667848,0.03996004609250335,0.0020214079688793385,1.8798865371443092e-05,0.011670846621582107,0.48232592532924523,0.000480341731757431,0.3284813864673427,4.763873917542981,29.652970122936054,1.2921025435382794e-05,0.005,0.5,0.06660962977104799,800.0000000000003
