id,cost,elapsed_min,pulloff_force,pulloff_shortfall,pulloff_cost,wrench_achieved,wrench_shortfall,wrench_detach_cost,wrench_drift_cost,xy_drift,sliding_friction,torsional_friction,rolling_friction,solref_timeconst,solimp_dmin,solimp_width,solimp_midpoint,solimp_power,noslip_iterations,noslip_tolerance,margin,Br,max_magnetic_distance,max_force_per_wheel
5d14bb4a,0.350000,0.72,1119.9800,0.000000,0.000000,1193.8000,0.000000,0.000000,0.700000,374.5250,0.06250012,0.00391219,5.2611856e-05,0.0014003632,0.225754,0.00034018424,0.82660071,4.2886446,30.019801,1.8535637e-05,0.0040046804,0.88493723,0.042859629,1188.5058
077ce8df,0.388181,0.72,912.3400,0.046039,0.046039,859.7000,0.101080,0.030324,0.700000,358.4733,0.059428158,0.0009338698,2.9839577e-05,0.0025625448,0.44942197,0.00016091925,0.70455682,3.8623751,29.430071,1.1253924e-05,0.0045124077,1.0921289,0.028042541,854.75336
01e5a624,0.350000,0.72,1068.9600,0.000000,0.000000,1015.7400,0.000000,0.000000,0.700000,406.4523,0.11152483,0.0020936953,4.249226e-05,0.0022246875,0.021823788,0.00029523628,0.82902559,4.6559779,29.885685,1.053003e-05,0.002764885,0.50503604,0.072249412,1011.467
7cf1b9e1,0.391891,0.97,906.7200,0.051915,0.051915,854.7800,0.106225,0.031867,0.700000,428.7357,0.22437679,0.0026698879,3.5783588e-05,0.0022561633,0.68227119,0.001099943,0.76123267,4.5262436,29.455005,9.9302158e-06,0.0043879196,0.74509684,0.097577679,849.12771
18714997,0.350000,0.97,1104.5800,0.000000,0.000000,1053.3800,0.000000,0.000000,0.700000,416.1323,0.17514136,0.0010021313,7.5660731e-05,0.0029555295,0.58209954,0.00021911178,0.10052157,4.0886155,30.48582,1.7409364e-05,0.0027953867,1.1410823,0.081392151,1047.0546
6669c4c4,0.350000,0.97,1119.9800,0.000000,0.000000,1200.7200,0.000000,0.000000,0.700000,417.8259,0.26461115,0.0037253282,5.698479e-05,0.0033413688,0.87495169,0.00032051714,0.23198598,5.4651328,29.742977,5.5885329e-05,0.0039707664,0.9398677,0.084691251,1195.0211
6dccedb6,0.350000,0.97,1119.9800,0.000000,0.000000,1203.3200,0.000000,0.000000,0.700000,430.1957,0.42360397,0.0038652852,3.0521956e-05,0.0056047055,0.91601359,0.00035561698,0.089904187,4.9386041,30.145942,5.8181381e-06,0.0041651671,0.52771492,0.095354735,1199.123
07fc2c42,0.350000,0.97,1017.7600,0.000000,0.000000,965.7800,0.000000,0.000000,0.700000,424.2635,0.12304204,0.0017796972,6.1734547e-05,0.0020091377,0.61269471,0.0015923725,0.016068574,4.9609885,29.913328,8.074176e-06,0.0048787368,0.77293499,0.091730796,960.21806
4df948cd,0.350000,0.97,1119.9800,0.000000,0.000000,1199.3800,0.000000,0.000000,0.700000,367.7470,0.28465373,0.0051795226,3.7316075e-05,0.0036923999,0.77776341,0.00029625114,0.56620912,4.2832401,30.062185,1.2324018e-05,0.0035006357,0.5017446,0.034355249,1195.6972
6530dbc3,0.398848,0.97,896.6600,0.062434,0.062434,843.9600,0.117538,0.035261,0.700000,361.7488,0.10129078,0.0058309302,1.3664204e-05,0.0022322484,0.19434189,0.0013394932,0.87845137,4.6455217,29.662441,4.4683013e-06,0.0029947016,0.82599338,0.030824956,838.99931
