id,cost,total_movement,Br,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,sliding_friction,torsional_friction,rolling_friction,rocker_stiffness,rocker_damping,wheel_kp,wheel_kv,max_magnetic_distance,noslip_iterations
a29ff698,0.006538045503246422,0.006538045503246422,1.6280000000000001,0.0008,44.222557019606214,0.9899015685854273,0.9986127939119731,0.01,0.9,3.209389468401384e-05,0.012753997783914154,40.487082461386336,1.3863896760523948,3.203112967473477,0.38979598570223345,0.07564769417532005,19
e89b8f5e,0.006622854364897566,0.006622854364897566,1.6280000000000001,0.000302916977677081,10.0,0.801580513722758,0.9976494951984476,0.01,0.9,0.0021835635965709193,1.2299973839681095e-05,44.06678033318144,1.8911508521390625,1.0099521484191425,9.426149547307215,0.08225247885338167,10
1f80e9a8,0.006781531480378114,0.006781531480378114,1.519767998031604,0.0005764938160883369,31.23738333268546,0.8850788012688875,0.9552893089071328,0.00153247517419137,0.9080853326332715,0.000301035576867463,9.303358425496503e-05,63.553541485327315,0.6295448433523514,46.860446023633614,0.6275507961547501,0.057699541326145395,25
db3d8705,0.00711496904976612,0.00711496904976612,1.6280000000000001,0.0008,50.0,0.9503974962538868,1.0,0.01,0.9427965255778498,1e-05,0.0013177114080794342,100.0,0.825631929898179,22.016065313712048,0.1,0.027539434301263304,17
04120364,0.008155661283257202,0.008155661283257202,1.5047135253861526,0.00046479165036875857,10.0,0.9548689333285161,0.9,0.00012473328926098718,0.9823963496844058,0.001078505684756771,0.1,50.700978928389915,4.999999999999999,49.99999999999999,1.6275863328134286,0.010162267677749635,10
00431c72,0.008295470350324257,0.008295470350324257,1.4711035761413191,0.00029569223925773105,45.33976089065037,0.9420665670405086,0.9953071847023953,0.00045867028933948737,0.955276496683549,0.0019461211687965413,0.08343078595778343,11.894501789925954,0.33065117182887954,2.110338467688323,0.34431006137855663,0.02139605359364257,14
a863ba99,0.008580315087773146,0.008580315087773146,1.5555869774540252,0.00039760911214387133,18.317666514727556,0.9078630622857984,0.9031313292455558,0.004836927180682221,0.9449754133369765,0.00038071583792493945,0.05089035297840717,53.36690243421026,0.3587426165320525,9.314664173553306,1.1006988685589532,0.08901919015553572,26
9f78019c,0.008832960222238341,0.008832960222238341,1.6280000000000001,0.0005628385639897077,16.06584890820508,0.8,0.9385766666975054,0.0001,0.9776686005065265,1e-05,0.00034703889575318417,27.910059536193653,1.9638285773402042,26.80062571451642,1.0334503258743695,0.028106085764480183,5
2ae8c37b,0.009555581937651153,0.009555581937651153,1.5901733169433068,0.0007827631705647437,42.12195711893961,0.8634408305197147,0.9717645123904354,0.0053246984683873065,0.9267380070278519,1e-05,0.009008585823260747,62.734730000216715,0.13010361123124303,49.99999999999999,0.45318563256962713,0.05263250943907681,15
6ad083f2,0.009593894384242387,0.009593894384242387,1.5393059176719404,0.0006926627995668144,44.2529716751237,0.8768565441532161,0.988777009876096,0.005033347298469079,0.9935634994220948,0.013847220391272614,0.004741906854477645,38.07909527912933,0.4290394759826184,39.560203667773756,8.857836781385418,0.011704684421666051,13
4705e639,0.010288071532472574,0.010288071532472574,1.5909408087545187,0.0007933775744341208,37.7910533230015,0.8054250401518441,0.9283934242540316,0.0012896350068560556,0.9,1.3238924014480594e-05,0.00014487424794563884,100.0,0.9654741315331412,16.813187227420265,1.140804350347786,0.05747094849740425,23
9491ee9f,0.010323411470918175,0.010323411470918175,1.6280000000000001,0.0008,21.70356463233537,0.8120230735476728,1.0,0.01,0.9658331498167338,0.0021494920049733974,0.1,39.46229474387195,0.18386307589950734,2.913729872135426,0.1,0.08887593552823977,5
04cc4c01,0.01054403271889842,0.01054403271889842,1.4745010740113722,0.0003366396278140148,40.10303866933779,0.9143765703500224,0.9828886800557481,0.0005210133964964915,0.946614026919425,0.0025719511084413738,0.023796037155431576,12.117237902157278,0.45863281983974685,2.28006692890315,0.6067184969564458,0.02115112078734177,16
e5951793,0.010651953727901979,0.010651953727901979,1.4291331895725208,0.00020852913170942095,49.27363553242125,0.9593973653931791,0.9860404618311676,0.00031659402992749105,0.9038834734429424,0.00016332853202136966,0.001407115376152589,21.215400846516534,2.5499085487804543,2.892965595647223,8.521256941388401,0.019673684186862935,26
095e4a42,0.010730407514264146,0.010730407514264146,1.332,0.0002353675914905314,20.470449239477485,0.9775931533391512,0.9,0.0001,0.9839866943182368,0.0004044506693684176,0.018727784821382012,95.91996032228165,4.999999999999999,10.290530731249628,4.13049725594018,0.014485185389804043,18
3819c2f0,0.010762038062628349,0.010762038062628349,1.3335319613460503,0.0006669158278537787,10.0,0.8,0.9848236011773659,0.00026747720338930747,0.9866280611274028,0.0008644265375920144,0.003696397568323667,10.0,4.999999999999999,49.99999999999999,0.1,0.03276488594662606,27
