id,cost,avg_vel,Br,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,sliding_friction,torsional_friction,rolling_friction,rocker_stiffness,rocker_damping,wheel_kp,wheel_kv,max_magnetic_distance,noslip_iterations
73bd3eea,0.11821258317970518,1.8817874168202948,1.6280000000000001,0.0004425339720875551,39.937879678376135,0.9327385899897411,0.9657108994851563,0.01,0.9,1e-05,1e-05,10.0,2.40044900600721,2.2348441130041032,0.5712688498187909,0.00915545485991768,29
c969f5fb,0.12334523362135386,1.8766547663786461,1.5443902934243388,0.0008,24.82116453769752,0.8301002732980299,0.9313901236967885,0.0006798499641451857,0.947566668608111,0.0007373087145390944,2.190520622070548e-05,27.473571136037705,0.3611245426874117,3.218267642168329,1.1341773369020103,0.008644929521867161,23
6f8f12bb,0.12668772292973762,1.8733122770702624,1.3685783181298483,0.0007344818778680089,30.433527694705987,0.8883139826097782,0.9741418857429416,0.0004462729015379437,0.9604158808606837,0.016762348137846085,8.182788910056502e-05,26.57200875111703,0.11107599226991084,3.132539685943475,1.1636822933504771,0.008398155350865603,27
1e06651b,0.1625324492881215,1.8374675507118785,1.4209755179776333,0.00045056829891214627,29.12369672240999,0.9281572175400231,0.9357520070703071,0.0004885483575662961,0.9966957537755387,0.0027491086305838856,7.348046210166267e-05,25.767014331315867,0.10053423540036718,3.160593896268508,1.1119049309496623,0.00886930232679962,29
b2d2889b,0.16546613258262788,2.165466132582628,1.5614591402419253,0.0005997606475465088,28.406699271747296,0.9773268522301972,0.9572382349235026,0.000538666998410905,0.9020635959853639,0.0036621246816460713,0.0011640926876988356,25.24564116020595,2.1317689715092323,3.0725163059545566,0.9824586360835095,0.009067663158585952,23
c7c35fd4,0.19440941115194565,1.8055905888480543,1.3977700277168787,0.00047859993777931353,49.09589011591099,0.8465498832420384,0.9983308894374686,0.0006657711134659586,0.9856693992397432,0.0015418050657662608,0.002929421654803827,32.410455982278755,0.13711817721786637,3.1397144684713405,1.0851153719128377,0.009371263258638945,25
aa4d404d,0.210150832185509,1.789849167814491,1.5781497494219348,0.0006462433435308665,21.936543775426927,0.8,0.9420602459604979,0.0008082290528226109,0.9760694238555809,0.020593949597853625,1e-05,25.395044577527443,0.1410982864425411,3.179308275240826,1.0388464696290733,0.008680486861809212,28
fb8fb0f0,0.21370383041160745,1.7862961695883925,1.6270142062063067,0.0007701815352321049,14.166369846492984,0.8249449078187141,0.9061853601066046,0.0007379500326154488,0.9035794433100991,0.011214136938797891,0.002973387610228006,28.239038459248732,0.3249100938482108,3.2515290469920366,0.945417143780522,0.008412494504364198,23
b14cabbe,0.2281501792549505,1.7718498207450495,1.586566052976773,0.0004063887460952895,38.8119999859244,0.885058143338039,0.9762389197609993,0.0006378027014757906,0.9430611371023208,0.0015263403195331464,0.04272377141982476,24.870785522208237,0.1843422876091454,3.1381717633066084,1.0747155635534493,0.009128756870279102,25
6dfa16b3,0.3143651603885087,1.6856348396114913,1.555881206231574,0.00016415919461503208,27.868376253070913,0.8885518563128025,0.9514731161453591,0.0038628543224244957,0.9330581305935235,0.1,0.02212443587874701,23.99191229971198,0.8781613872553511,3.0961111114478137,1.000099958543392,0.00798000055193097,28
