id,cost,avg_vel,avg_x_disp,avg_y_disp,Br,solref_timeconst,solref_dampratio,solimp_dmin,solimp_dmax,solimp_width,sliding_friction,torsional_friction,rolling_friction,rocker_stiffness,rocker_damping,wheel_kp,wheel_kv,max_magnetic_distance,noslip_iterations,max_force_per_wheel
7ddc340c,39.222270206386206,-23.777965573042273,3.1894341503872172,64.03208901633243,1.4920872627300208,0.00017527741642491123,49.5147797167752,0.8832587582445403,0.9375646463076535,0.01,0.968618591297484,0.0003677951575529869,0.004977977010114724,535.8925039894364,4.999999999999999,20.97143499073941,3.191744401097573,0.022037901910608004,20,292.34646231513017
fb46a10d,43.01555652428071,-24.231287843264482,1.4211668051500284,82.50017659993114,1.4863061587938011,0.0006040328750669819,35.90376728625813,0.8754979823659865,0.9142045472436882,0.0003516278300595202,0.93820968423939,0.00012760248281633638,0.0094569288758103,618.5346792259171,0.5053479395487539,6.797029293685822,0.6394255509407518,0.06442315909729382,16,300.0
3038dd91,46.35428737024336,-24.35568327007618,0.45885045191980617,99.5341700489161,1.5000392970347176,0.00012191930471889103,43.69139098379995,0.8854532853402555,0.9395150236001815,0.007133747470888437,0.9727271995856421,0.0002023778954048509,0.0019132683954526494,568.7508340232414,4.295388384337012,27.216838517143707,3.123490722120777,0.025184054875498334,20,273.06015052409623
9255b6b2,47.09301646504867,-41.60270401199641,3.9798123871534177,13.47174987810787,1.3359264285033206,0.0007595412289793972,32.53152871382157,0.8732291354825841,0.9015966252220214,0.0002895927274708839,0.9241025466026012,0.005408216580718496,0.002754143921332031,849.8754205625481,0.19703407805697312,4.61742916925673,0.2314579890520487,0.048052706833820485,16,35.12273829847295
bc67b3c8,49.3845864104006,-45.47855462031598,8.461658515531743,1.068500434891341,1.5936001348761553,0.0007145237699206688,29.568483052525863,0.9320639363696932,0.9766019344058688,0.0020747135393913967,0.9401290378093524,0.0021516410941015466,0.01697530952787165,526.5322201134449,0.188440342389404,1.4651647565627037,5.699858513927849,0.00622249198952625,8,264.46115803103453
0fc963b2,49.63315738147282,-37.76203349345843,18.64493573576381,30.710683704308128,1.4908603198201849,0.00018911235801350907,47.97182049633956,0.8649226553978802,0.9289955754171708,0.0004922083661322268,0.9154894341448063,0.000537075842070146,0.0032869257631203894,507.83517460496944,1.3614012975694054,26.999400343748764,0.13514967480062418,0.014779920787608205,9,136.93445985574897
2aaa1e8d,51.148538699091,-47.87945986145328,4.384922640837625,1.9604715473509597,1.5130493355045314,0.00010494641365380219,10.92249700165663,0.899707185449094,0.9399860971715256,0.00012397420340784146,0.997375551884146,8.532678095658718e-05,2.303699023037864e-05,656.5474083997786,0.4464691453311353,46.82521523598523,0.8580760619921303,0.06573221513515379,22,67.74203331820912
85481f8e,52.155421778108035,-38.80377820733153,20.71352533777139,36.04469251611112,1.562621948122787,0.0005578748389819891,46.386684834056425,0.8756620175946533,0.9351840064344795,0.008633664289985002,0.9993729930102491,0.04051544975486924,0.0038156451278436136,342.37173002270504,0.6203667881327796,5.839518531562312,0.3440341161865101,0.05098179291055519,23,49.33037287542787
d6c2943c,53.2359345798436,-46.92329762117499,3.0764755152756824,18.486709278067384,1.5541768699753153,0.000595114055010804,11.788626177003636,0.8365022242007193,0.99014661699902,0.002985633428715817,0.9042738998851029,0.00022512913598609897,0.000667588692302457,903.3345391083005,1.1014276181866092,11.622388201934456,0.22116326371233552,0.1,24,29.398104939229682
90878faf,53.34966730453682,-48.271680515035996,14.639487453961893,0.7504464935422666,1.567776724110629,0.00022840435290631466,41.18764001091078,0.9134015300098326,0.9445832752853591,0.00015847101210439096,0.9459248891965868,0.00021618942406574447,3.727925903376984e-05,685.7996256539677,0.12469285841461956,16.85210891283815,7.53538450929555,0.005011678487323829,30,106.4742529813618
